Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,score
1,Rhode Island School of Design,2.96,PhD,Fort Worth,M,0,0,1,Asian American & Pacific Islander,Human Resources Manager,12/19,12/19,Data Scientist,1/20,5/20,Software Engineer,6/20,9/20,4.93
2,Salve Regina University,3.48,Master's,Columbus,F,1,1,0,Asian American & Pacific Islander,Human Resources Manager,2/19,9/19,Web Developer,10/19,10/19,Marketing Coordinator,11/19,11/19,4.28
3,Roger Williams University,3.11,Bachelor's,Los Angeles,N/A,N/A,0,N/A,Black,Web Developer,3/15,5/15,Software Engineer,6/15,11/15,N/A,N/A,N/A,4.32
4,Johnson & Wales University,3.57,Bachelor's,San Francisco,M,N/A,0,N/A,Native American,Product Manager,5/20,7/20,Graphic Designer,8/20,8/20,Marketing Coordinator,9/20,12/20,0.69
5,Brown University,2.86,PhD,San Diego,F,N/A,1,1,White,Web Developer,2/19,3/19,Machine Learning Engineer,4/19,8/19,N/A,N/A,N/A,2.3
6,Rhode Island College,2.66,Bachelor's,San Antonio,M,N/A,1,N/A,Other,Web Developer,8/15,10/15,N/A,N/A,N/A,N/A,N/A,N/A,1.32
7,Roger Williams University,2.1,Bachelor's,Philadelphia,F,0,1,0,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.28
8,Brown University,4.0,Bachelor's,Austin,N/A,1,0,0,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.57
9,Bryant University,2.6,Master's,Miami,F,1,1,1,Native American,Lawyer,11/22,11/22,Research Assistant,12/22,12/22,Research Assistant,1/23,1/23,9.77
10,Providence College,3.61,Master's,Los Angeles,F,N/A,1,1,Other,Machine Learning Engineer,3/22,6/22,Product Manager,7/22,10/22,Web Developer,11/22,11/22,9.64
11,Brown University,3.82,Master's,Houston,F,1,0,0,Asian American & Pacific Islander,Research Assistant,8/20,9/20,Machine Learning Engineer,10/20,10/20,Research Assistant,11/20,11/20,9.4
12,Roger Williams University,3.16,Bachelor's,Phoenix,F,1,0,N/A,White,Human Resources Manager,1/22,5/22,Graphic Designer,6/22,12/22,Marketing Coordinator,1/23,5/23,3.53
13,Brown University,3.29,PhD,Boston,N/A,N/A,1,N/A,Asian American & Pacific Islander,Machine Learning Engineer,8/21,12/21,Sales Representative,1/22,3/22,Lawyer,4/22,10/22,5.16
14,Johnson & Wales University,2.9,Bachelor's,Philadelphia,M,0,1,1,Native American,Graphic Designer,5/21,6/21,Lawyer,7/21,8/21,N/A,N/A,N/A,1.01
15,University of Rhode Island,3.11,Master's,San Francisco,N/A,0,0,N/A,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.38
16,Providence College,2.95,PhD,San Francisco,M,0,0,N/A,Asian American & Pacific Islander,Web Developer,7/16,8/16,Human Resources Manager,9/16,9/16,N/A,N/A,N/A,2.0
17,Bryant University,2.7,Master's,Boston,M,N/A,1,1,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.97
18,Salve Regina University,3.33,PhD,Fort Worth,N/A,1,0,0,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.83
19,Roger Williams University,3.29,Bachelor's,Chicago,N/A,0,0,1,White,Data Scientist,9/18,10/18,Sales Representative,11/18,11/18,N/A,N/A,N/A,1.81
20,University of Rhode Island,3.3,Master's,Philadelphia,F,N/A,1,1,Asian American & Pacific Islander,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.32
21,Brown University,3.16,PhD,San Diego,M,N/A,1,N/A,Native American,Human Resources Manager,3/15,5/15,Lawyer,6/15,9/15,Sales Representative,10/15,10/15,9.27
22,Rhode Island College,3.28,Master's,Jacksonville,F,N/A,0,1,Black,Sales Representative,1/15,11/15,Research Assistant,12/15,12/15,Lawyer,1/16,4/16,5.64
23,University of Rhode Island,3.47,Bachelor's,Chicago,N/A,1,0,0,White,Lawyer,9/18,11/18,Data Scientist,12/18,12/18,Product Manager,1/19,4/19,0.04
24,Brown University,3.49,Master's,San Jose,M,1,0,N/A,Asian American & Pacific Islander,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.11
25,New England Institute of Technology,3.03,Bachelor's,New York,F,1,1,N/A,White,Web Developer,5/22,9/22,Software Engineer,10/22,11/22,Machine Learning Engineer,12/22,12/22,0.36
26,Johnson & Wales University,3.38,Bachelor's,Chicago,N/A,1,1,1,Black,Lawyer,12/17,12/17,Product Manager,1/18,3/18,Software Engineer,4/18,11/18,7.87
27,Brown University,2.91,Bachelor's,New York,N/A,1,1,N/A,Black,Graphic Designer,7/15,11/15,N/A,N/A,N/A,N/A,N/A,N/A,6.98
28,New England Institute of Technology,3.52,PhD,San Jose,F,0,0,N/A,Other,Data Scientist,5/21,12/21,Human Resources Manager,1/22,2/22,N/A,N/A,N/A,6.31
29,Providence College,3.29,Bachelor's,San Jose,N/A,0,1,N/A,Black,Financial Analyst,4/15,6/15,Financial Analyst,7/15,10/15,Lawyer,11/15,12/15,7.2
30,Rhode Island School of Design,3.3,PhD,Columbus,N/A,0,0,1,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.93
31,Salve Regina University,2.77,PhD,Miami,N/A,0,0,1,Other,Machine Learning Engineer,10/15,10/15,Product Manager,11/15,12/15,Graphic Designer,1/16,2/16,7.42
32,Johnson & Wales University,3.21,Master's,New York,N/A,0,0,N/A,Asian American & Pacific Islander,Financial Analyst,1/15,12/15,Graphic Designer,1/16,1/16,Human Resources Manager,2/16,4/16,6.92
33,New England Institute of Technology,3.36,Bachelor's,Philadelphia,M,0,0,1,Native American,Human Resources Manager,4/21,11/21,N/A,N/A,N/A,N/A,N/A,N/A,9.27
34,Bryant University,2.68,PhD,San Diego,M,N/A,1,0,Native American,Graphic Designer,3/16,11/16,Web Developer,12/16,12/16,Sales Representative,1/17,6/17,9.43
35,Johnson & Wales University,3.38,Master's,New York,N/A,1,1,1,Other,Human Resources Manager,11/17,11/17,Graphic Designer,12/17,12/17,Graphic Designer,1/18,2/18,3.9
36,Providence College,2.37,Master's,Chicago,N/A,1,1,1,Black,Lawyer,3/17,10/17,Financial Analyst,11/17,12/17,Research Assistant,1/18,5/18,9.14
37,University of Rhode Island,3.6,Bachelor's,San Antonio,F,N/A,1,1,Other,Product Manager,12/17,12/17,Product Manager,1/18,2/18,Lawyer,3/18,7/18,4.3
38,Roger Williams University,2.58,Master's,Los Angeles,F,N/A,1,1,White,Financial Analyst,8/19,11/19,Sales Representative,12/19,12/19,Data Scientist,1/20,7/20,1.17
39,Roger Williams University,3.07,Bachelor's,New York,F,0,1,N/A,Asian American & Pacific Islander,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.13
40,Rhode Island School of Design,2.89,PhD,Charlotte,N/A,1,0,1,Native American,Sales Representative,7/17,8/17,Research Assistant,9/17,11/17,N/A,N/A,N/A,8.72
