,Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,score,prediction
0,1,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.99,0
1,2,Brown University,3.5,Master's,Providence,M,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.94,1
2,3,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.55,0
3,4,Brown University,3.5,Master's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.63,0
4,5,Brown University,3.5,Master's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.66,0
5,6,Brown University,3.5,PhD,Providence,M,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.58,1
6,7,Brown University,3.5,Bachelor's,Providence,F,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.19,1
7,8,Brown University,3.5,PhD,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.59,1
8,9,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.37,1
9,10,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.99,0
10,11,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.41,1
11,12,Brown University,3.5,PhD,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.33,0
12,13,Brown University,3.5,Master's,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.8,0
13,14,Brown University,3.5,PhD,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.56,0
14,15,Brown University,3.5,PhD,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.26,0
15,16,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.67,1
16,17,Brown University,3.5,Master's,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.17,0
